Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2021,June,2 Eastern, Mitchell,2993,6020.7
2021,June,2 Eastern, Moira,1708,5624.5
2021,June,2 Eastern, Monash,9334,4839.0
2021,June,2 Eastern, Murrindindi,637,4207.7
2021,June,2 Eastern, South Gippsland,1288,4238.5
2021,June,2 Eastern, Strathbogie,477,4196.0
2021,June,2 Eastern, Towong,168,2715.8
2021,June,2 Eastern, Wangaratta,1628,5472.1
2021,June,2 Eastern, Wellington,3103,6824.4
2021,June,2 Eastern, Whitehorse,6611,3864.3
2021,June,2 Eastern, Wodonga,2370,5485.2
2021,June,2 Eastern, Yarra Ranges,5870,3728.9
2021,June,2 Eastern,Total,84449,4960.2
2021,June,3 Southern Metro, Bayside,3649,3566.0
2021,June,3 Southern Metro, Cardinia,5424,4536.1
2021,June,3 Southern Metro, Casey,15718,4253.2
2021,June,3 Southern Metro, Frankston,9583,6804.9
2021,June,3 Southern Metro, Glen Eira,5693,3779.3
2021,June,3 Southern Metro, Greater Dandenong,13533,8452.8
2021,June,3 Southern Metro, Kingston,7667,4805.3
2021,June,3 Southern Metro, Mornington Peninsula,7005,4110.0
2021,June,3 Southern Metro, Port Phillip,10302,9959.6
2021,June,3 Southern Metro, Stonnington,8882,8364.3
2021,June,3 Southern Metro,Total,87456,5525.9
2021,June,4 Western, Ararat,1116,9436.0
2021,June,4 Western, Ballarat,7264,6399.8
2021,June,4 Western, Buloke,214,3489.9
2021,June,4 Western, Campaspe,2424,6287.0
2021,June,4 Western, Central Goldfields,777,5803.7
2021,June,4 Western, Colac-Otway,1122,5029.4
2021,June,4 Western, Corangamite,614,3830.3
2021,June,4 Western, Gannawarra,625,5887.9
2021,June,4 Western, Glenelg,1063,5299.6
2021,June,4 Western, Golden Plains,447,1795.8
2021,June,4 Western, Greater Bendigo,7974,6575.3
2021,June,4 Western, Greater Geelong,15165,5597.3
2021,June,4 Western, Hepburn,460,2790.4
2021,June,4 Western, Hindmarsh,312,5516.3
2021,June,4 Western, Horsham,1428,7008.2
2021,June,4 Western, Loddon,427,5543.3
2021,June,4 Western, Macedon Ranges,1752,3395.4
2021,June,4 Western, Mildura,4224,7414.9
2021,June,4 Western, Moorabool,1987,5241.4
2021,June,4 Western, Mount Alexander,694,3450.3
2021,June,4 Western, Moyne,512,2960.2
2021,June,4 Western, Northern Grampians,893,7513.0
2021,June,4 Western, Pyrenees,340,4462.5
2021,June,4 Western, Queenscliffe,77,2379.5
2021,June,4 Western, Southern Grampians,783,4747.8
2021,June,4 Western, Surf Coast,1167,3099.8
2021,June,4 Western, Swan Hill,1838,8596.4
2021,June,4 Western, Warrnambool,2236,6310.5
2021,June,4 Western, West Wimmera,120,3016.6
2021,June,4 Western, Yarriambiack,295,4531.5
2021,June,4 Western,Total,58350,5568.8
2021,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1186,
2021,June,Justice Institutions and Immigration Facilities,Total,1186,
2021,June,Unincorporated Vic, Unincorporated Vic,31,
2021,June,Unincorporated Vic,Total,31,
2020,June,1 North West Metro, Banyule,6921,5311.8
2020,June,1 North West Metro, Brimbank,15615,7646.4
2020,June,1 North West Metro, Darebin,11683,7438.7
2020,June,1 North West Metro, Hobsons Bay,4741,4980.4
2020,June,1 North West Metro, Hume,15601,6403.2
2020,June,1 North West Metro, Maribyrnong,7317,8182.9
2020,June,1 North West Metro, Melbourne,26346,15444.1
2020,June,1 North West Metro, Melton,9593,5527.0
2020,June,1 North West Metro, Merri-bek,11031,6127.3
2020,June,1 North West Metro, Moonee Valley,6642,5238.7
2020,June,1 North West Metro, Nillumbik,1626,2527.9
2020,June,1 North West Metro, Whittlesea,12058,5219.0
2020,June,1 North West Metro, Wyndham,13723,4776.7
2020,June,1 North West Metro, Yarra,11444,11839.2
2020,June,1 North West Metro,Total,154341,6859.3
2020,June,2 Eastern, Alpine,440,3370.6
2020,June,2 Eastern, Bass Coast,1855,4762.5
2020,June,2 Eastern, Baw Baw,3600,6457.1
2020,June,2 Eastern, Benalla,950,6605.5
2020,June,2 Eastern, Boroondara,6774,3808.3
2020,June,2 Eastern, East Gippsland,3663,7651.3
2020,June,2 Eastern, Greater Shepparton,6327,9240.0
2020,June,2 Eastern, Indigo,444,2594.2
2020,June,2 Eastern, Knox,9044,5540.2
2020,June,2 Eastern, Latrobe,10048,13098.0
2020,June,2 Eastern, Manningham,3576,2794.0
2020,June,2 Eastern, Mansfield,325,3319.0
2020,June,2 Eastern, Maroondah,5866,4958.8
2020,June,2 Eastern, Mitchell,3166,6585.8
2020,June,2 Eastern, Moira,1758,5802.4
2020,June,2 Eastern, Monash,9516,4739.3
2020,June,2 Eastern, Murrindindi,627,4216.0
2020,June,2 Eastern, South Gippsland,1280,4228.3
2020,June,2 Eastern, Strathbogie,428,3835.8
2020,June,2 Eastern, Towong,154,2495.9
2020,June,2 Eastern, Wangaratta,1786,6050.8
2020,June,2 Eastern, Wellington,3315,7349.5
2020,June,2 Eastern, Whitehorse,7376,4172.1
2020,June,2 Eastern, Wodonga,2819,6607.1
2020,June,2 Eastern, Yarra Ranges,6139,3864.0
2020,June,2 Eastern,Total,91276,5294.1
2020,June,3 Southern Metro, Bayside,4031,3838.4
2020,June,3 Southern Metro, Cardinia,5289,4539.7
2020,June,3 Southern Metro, Casey,17530,4816.3
2020,June,3 Southern Metro, Frankston,11255,7915.4
2020,June,3 Southern Metro, Glen Eira,6309,4079.4
2020,June,3 Southern Metro, Greater Dandenong,14545,8780.7
2020,June,3 Southern Metro, Kingston,8933,5473.8
2020,June,3 Southern Metro, Mornington Peninsula,8705,5115.0
2020,June,3 Southern Metro, Port Phillip,9877,8932.5
2020,June,3 Southern Metro, Stonnington,9352,8304.8
2020,June,3 Southern Metro,Total,95826,5972.1
2020,June,4 Western, Ararat,1002,8407.5
2020,June,4 Western, Ballarat,8458,7575.8
2020,June,4 Western, Buloke,281,4564.7
2020,June,4 Western, Campaspe,2648,6899.6
2020,June,4 Western, Central Goldfields,858,6449.2
2020,June,4 Western, Colac-Otway,1378,6186.6
2020,June,4 Western, Corangamite,576,3575.9
2020,June,4 Western, Gannawarra,591,5588.7
2020,June,4 Western, Glenelg,1145,5709.3
2020,June,4 Western, Golden Plains,466,1912.5
2020,June,4 Western, Greater Bendigo,8266,6890.7
2020,June,4 Western, Greater Geelong,17108,6430.7
2020,June,4 Western, Hepburn,695,4253.6
2020,June,4 Western, Hindmarsh,255,4498.9
2020,June,4 Western, Horsham,1454,7132.7
2020,June,4 Western, Loddon,364,4753.8
2020,June,4 Western, Macedon Ranges,1736,3411.0
2020,June,4 Western, Mildura,5503,9598.0
2020,June,4 Western, Moorabool,1704,4612.4
2020,June,4 Western, Mount Alexander,846,4242.9
2020,June,4 Western, Moyne,501,2931.4
2020,June,4 Western, Northern Grampians,777,6582.0
2020,June,4 Western, Pyrenees,363,4811.8
2020,June,4 Western, Queenscliffe,98,3166.4
2020,June,4 Western, Southern Grampians,888,5379.9
2020,June,4 Western, Surf Coast,1055,2944.7
2020,June,4 Western, Swan Hill,1757,8172.5
2020,June,4 Western, Warrnambool,2395,6762.1
2020,June,4 Western, West Wimmera,137,3430.1
2020,June,4 Western, Yarriambiack,352,5300.4
2020,June,4 Western,Total,63657,6148.3
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1426,
2020,June,Justice Institutions and Immigration Facilities,Total,1426,
2020,June,Unincorporated Vic, Unincorporated Vic,112,
2020,June,Unincorporated Vic,Total,112,
2019,June,1 North West Metro, Banyule,7037,5387.9
2019,June,1 North West Metro, Brimbank,14149,6842.8
2019,June,1 North West Metro, Darebin,11177,7105.6
2019,June,1 North West Metro, Hobsons Bay,4867,5079.4
2019,June,1 North West Metro, Hume,15685,6664.0
2019,June,1 North West Metro, Maribyrnong,6684,7471.5
2019,June,1 North West Metro, Melbourne,26126,15463.6
2019,June,1 North West Metro, Melton,8323,5027.9
2019,June,1 North West Metro, Merri-bek,10967,6115.6
2019,June,1 North West Metro, Moonee Valley,6275,4964.2
2019,June,1 North West Metro, Nillumbik,1683,2610.8
